
{4e4c9842-2cfc-4593-a06b-150e903cbd89} event:/music/levels/world1/entry
{97c4090b-f907-4410-bc91-ee4c3fedad81} event:/sfx/misc/timetrialclonestruggle
{1fc6dc0b-32bc-4e3e-9edc-d2c1616f2dc3} event:/sfx/player/grabcancel
{c36b8f0d-d76c-431a-a3dd-06671bfe2ddb} event:/sfx/misc/timetrialclonejump
{9750370e-fe94-4d3a-ba18-f9a4e511f8e9} event:/sfx/misc/tvmessageoff
{96aa510e-06b6-468e-a3be-3733e2c3fd99} event:/sfx/player/voice/peppino/transfo
{24a6c90e-e87b-4ef2-bef6-44e49c13a77e} event:/sfx/misc/brickbreak
{656c4111-b119-482a-8a22-b23fc03f1afa} event:/sfx/npc/noise
{f7e71013-d235-4d6f-9c37-b9a41e088c1a} event:/sfx/player/swingding
{622c2113-a645-4841-b009-62e7673ac2ef} event:/sfx/misc/metalbreak
{613bd813-77c8-4358-8a39-6797107bac31} event:/sfx/misc/bridgebreak
{10606b15-2680-4f8f-a23b-ba3557438d6b} event:/sfx/player/voice/peppino/hurt
{722e0316-ef9a-4f68-b13f-805d65f02af8} event:/sfx/player/mach/noisesuperjumpprep
{a8ef5f16-5b28-4d91-be8b-6ac2d82ed8e5} event:/sfx/player/collect/treasure
{13e88e16-d5c3-4576-80ff-94591a0a9bdd} event:/sfx/player/ramptrick
{02c1be19-9397-4c9d-b7ef-7ea63d01db2e} event:/sfx/misc/tvmessageon
{18d4d819-4bf5-42f5-8479-9654ab8934c8} event:/sfx/player/voice/noise/fireass
{bb97b21c-b06b-4bed-8bcc-58cf0531eaee} event:/sfx/player/entereye
{ef439f1e-c916-4248-964f-c16acb859cb7} event:/sfx/player/wallbounce
{07b63b20-7a5d-411e-ba14-e3358472dfc2} event:/sfx/npc/snick
{e4ec5620-389b-4a01-b9c9-0744d67eaf8a} event:/sfx/pausemenu/impact
{ba88a323-2162-4d41-80b9-0291d8773c00} event:/sfx/player/mach/superjumprelease
{e34de723-1efb-44af-bea5-c5a76ae4abc7} event:/sfx/player/transfo/bombpepexplode
{a791fd24-f985-4198-8bc4-ac4fc4365581} event:/sfx/player/transfo/knightdownthrust
{e0438130-156a-425c-a540-d106d8f57d0f} event:/sfx/player/voice/peppino/fireass
{4bc13031-3b85-4348-be3d-9323b5b8de03} event:/sfx/player/wallbounceland
{38f9d031-9e32-41ae-949c-f13146a16091} event:/sfx/player/noisetornado
{ddd4d632-dc9b-4cb0-8366-b93a648a519e} event:/sfx/misc/dragonfireball
{f9f07834-0663-4f11-958c-d92e79a6f11b} event:/sfx/player/collect/clock
{e9d50b35-1209-486a-b041-00bd2878c7b6} event:/sfx/misc/priestpray
{b727e437-e306-4bf1-bef4-08dccae984a1} event:/sfx/player/splat
{d8720739-5a20-4605-848e-aa0c71386760} event:/sfx/misc/comboend
{bcba413c-612a-47e4-af64-1651dfbfd160} event:/sfx/player/transfo/boxxeddash
{42eb4e3c-8662-4595-847d-539474bdf6c3} event:/sfx/player/mach/rollgetup
{da17063e-f908-4fa5-a61d-2ad7fae96beb} event:/sfx/player/exiteye
{5745b53e-e099-47b8-8e62-112011af3f01} event:/sfx/player/mach/noisemachbreak
{9cda5046-d9a3-429b-9184-663578ddd9d4} event:/sfx/player/breakdance
{f000bd46-97fa-4d25-a500-4d43d8774d98} event:/sfx/player/uppercut
{97390847-6e56-47c7-b018-e85d6a0b19e4} event:/sfx/misc/gateunlockloop
{0154e348-a80c-43fb-a8b6-0d490c374f18} event:/sfx/player/transfo/transfo
{4428d04a-7c51-42b2-a70a-84f0cc01b8c3} event:/sfx/misc/secretfound
{4bc40b4b-ad5c-44ed-9a12-aa257ca89a85} event:/sfx/misc/bridgeland
{482e054d-1609-459f-9ecb-325745cd31e1} event:/sfx/player/mach/superjumpprep
{ce35d34d-91e2-43d3-8087-9b0ece156b24} event:/sfx/player/noisehurt
{a876db4d-1c47-4b4d-8162-c7a1da921c0f} event:/sfx/player/boxenter
{889e0a4e-82e6-460f-ac34-15a595658f2a} event:/sfx/misc/timesupland
{a4b4ec4e-6612-4d83-a48a-be55c2f3e67d} event:/sfx/misc/taxihonk
{b6481a4f-f0e9-4408-8f20-472a391b828a} event:/sfx/player/unlockdoor
{c6a21d50-8b9b-43fd-93a5-6c5d4fbd72a9} event:/sfx/player/transfo/firesound
{17fcd052-c753-468e-b0cc-0280d3ca1b26} event:/sfx/player/mach/mach
{cc412655-8682-4a77-9fde-88e2477ec3f4} event:/sfx/misc/mrcarhit
{3f290b56-3818-4d2c-bc47-2208b7dd67c7} event:/sfx/player/dive
{697e9c57-5506-4da4-99d6-4e8220f73e95} event:/sfx/player/transfo/weeniegalloping
{b63f675d-c7b5-4959-9e16-0427efe89cbb} event:/sfx/misc/cymbalcrash
{011ef264-c1c8-48e8-abe3-ccc974ef8703} event:/sfx/player/impact
{7bcc5765-70ba-4dd1-851e-20461d57ccdc} event:/sfx/misc/intropocket
{2bffe967-5f07-4522-b771-a8e89735e617} event:/sfx/player/airspin
{daac6369-127d-4214-88b1-2045e90629b8} event:/sfx/player/switchcharup
{9c89336a-a600-4e11-839a-d9f1d8163bd5} event:/sfx/player/transfo/barrel
{7cc4d16a-2aeb-40b8-9f76-b9a937aead7e} event:/sfx/player/bump
{59a1646c-e72e-4cfc-af20-c6751eaeba14} event:/sfx/enemy/spatout
{3808a56d-1b2c-4240-89d9-a76479441199} event:/sfx/enemy/punched
{62c6f76e-3e8b-4029-8cb8-4f854f2bc448} event:/sfx/misc/taxidrive
{d4480c72-f7ba-4ae9-9efd-7e93151db18d} event:/sfx/player/transfo/tumble
{16286b72-36bb-4440-a963-65d2c0372a90} event:/sfx/player/retrodeath
{e9a04b73-faaf-4c46-9bb6-5689261d4e88} event:/sfx/misc/dragonhurt
{865b1474-0521-491f-80df-ad9f58ffb878} event:/sfx/player/switchchardown
{617e7377-1cf5-4ea8-b075-df3dff5d01d5} event:/sfx/player/suplexdash
{981e4a7d-0f87-4449-9af9-bddcc54d0c17} event:/sfx/misc/timesupslidedown
{a3c61c7e-ab44-4923-a9a6-da8f2244c43f} event:/sfx/player/collect/pizzacoinallcollected
{1c59e97e-4ff5-400a-9d02-63db0949eeb8} event:/sfx/enemy/die
{b1612d81-b516-4eec-914d-ffaa805364d7} event:/sfx/pausemenu/rubbersqueak
{92817486-cdfa-4df0-a953-cfa6a4e4f634} event:/sfx/misc/sagegateportal
{9a246688-2cfb-475b-82d5-d66b1f3f59d6} event:/sfx/player/voice/peppino/screamboss
{6347c38c-7e17-4ff1-9ca8-4948bb1df8b9} event:/sfx/player/voice/peppino/random
{dfc3578f-1322-4ca6-a8cb-e5a0ac6eb92f} event:/sfx/enemy/monkeygunshoot
{28c2e491-6982-4888-b66d-3035c54ed25b} event:/sfx/misc/secondlogoswingin
{62c45f92-de2f-4f51-8fd2-6b41575a87a3} event:/sfx/player/collect/bell
{79d57892-fa05-475d-86dd-66b676b34649} event:/sfx/player/ramptrickdone
{e0649b92-1303-4f3c-b712-e8e756f1f1d7} event:/sfx/player/revolver
{43c26795-19ce-4659-b08f-a7efd29618e8} event:/sfx/player/parry
{2ef40199-94e2-4e59-95f2-4fe8900c3fe8} event:/sfx/player/mach/machbreak
{7b897399-c847-4bd9-ad67-809cb03e61d6} event:/sfx/player/collect/topping
{cae5809c-21d7-4b6c-94e2-20277c93cbcc} event:/sfx/misc/breakblock
{0ca5b39c-f11a-46c5-92ef-554831e97899} event:/sfx/pausemenu/buzzer
{d46a219d-1f7e-42c7-b279-d4db2942b96f} event:/sfx/misc/slip
{51cb309e-15b6-4f9a-b9ab-fa065ea2607e} event:/sfx/misc/titlelogofall
{7c66409e-b06e-4f39-9757-0a623630812d} event:/sfx/enemy/minijohnpunch
{6b5f98a1-b930-46dd-baf9-9e0c7961b92a} event:/sfx/player/transfo/detransfo
{8753a9a2-9dba-40dc-9faf-1808f8e207bd} event:/sfx/player/hurt
{6dfbc5a7-c92e-479f-adc5-3e2e2b89a543} event:/sfx/player/kungfu
{9f70f5ab-95dc-4a2e-bc4b-0ad5004e3f15} event:/sfx/enemy/charge
{55deffab-b833-428e-8171-dca8183b3906} event:/sfx/player/transfo/knightsword
{948da9ad-c15f-42d3-ab46-2c1a9b989235} event:/sfx/player/mach/machroll
{ebf09cb1-88b2-4bb9-92c5-1aaf823207aa} event:/sfx/misc/titlelogoland
{400b03b2-6d22-4507-96eb-a56b796b4119} event:/sfx/player/mach/noisemachslide
{20742db3-7d31-4e4a-a326-1efc78f423fc} event:/sfx/player/voice/noise/screamboss
{5c5128b6-e398-4fd4-bcce-8ae7e9957262} event:/sfx/player/voice/noise/random
{2143cfbe-d313-47eb-829e-e7c8b83b8588} event:/sfx/player/groundpound2d
{4ca178bf-b355-486f-857a-40a61819457a} event:/sfx/player/killingblow
{076688c4-280a-4673-b0db-37bf99414ee6} event:/sfx/player/transfo/clownhonk
{cd9047c7-9cbf-42e7-adf4-5b9402f9456f} event:/sfx/player/transfo/knightslide
{975893c7-7bf6-45d3-b4db-67ea8f7334d2} event:/sfx/player/ramp
{235850c8-0ee2-41f0-aa88-478b3dd393c9} event:/sfx/npc/incognito
{79e551ca-a2e8-468e-993e-6f4a420c7d6f} event:/sfx/player/transfo/fireasssizzle
{cc8d94ca-1637-4614-9bb9-e1bdaf9834cb} event:/sfx/npc/peppino
{ae7fa4ca-1761-4176-ba99-81b9bac40fdd} event:/sfx/enemy/ratsniff
{7806a1cc-b84f-49fc-9eaa-71558d976386} event:/sfx/misc/dragonfireballdestroy
{f7ca4ecf-ecc8-4a4b-a328-2ac45b12a8a7} event:/sfx/player/mach/noisemach
{3f15c5d0-81f2-41a6-a5d5-20cda31ea91d} event:/sfx/player/noisecrusher
{0dc07bd1-7bf1-4c6b-b992-8ca1faadbcfe} event:/sfx/misc/disclaimersplat
{0a56f4d1-9702-441e-96a2-9cacfc203bfc} event:/sfx/enemy/scream
{9750d6d4-1704-409e-8d42-99579dee1e40} event:/sfx/player/longjump
{fc39eed4-058f-46f0-9f60-6c0b39a38f6a} event:/sfx/misc/timetrialclonegetin
{13e6aed5-eaad-4c08-92ba-19fc02bde463} event:/sfx/player/collect/toppin
{315703d6-3c11-4b9d-9ff9-61d30e20f35e} event:/sfx/player/doorenter
{d6eee5d9-86ea-4df0-b820-54b5a81bbb6e} event:/sfx/misc/timetrialcloneexit
{791781da-2a2b-4328-8dad-47e8d7899eb8} event:/sfx/player/groundpoundfall
{20a2afda-2530-4ada-9948-d93a0f659706} event:/sfx/misc/dragonslam
{be2022db-b12b-452d-a850-b7d2dc419c9c} event:/sfx/enemy/ratdie
{76205ddb-8594-4e95-ac7c-fb738ab7bc5b} event:/sfx/player/collect/pizzacoin
{e4d590db-5313-456c-ae43-bd032ea31603} event:/sfx/misc/purchase
{f8c00adc-3137-4455-93ee-cb558df71964} event:/sfx/player/voice/peppino/collect
{965e61de-2625-4fb2-8ad6-68b4432edf2d} event:/sfx/player/collect/gerome
{1d728adf-d1dd-43a0-92c3-1ad1a441e07c} event:/sfx/player/collect/giantpizza
{651ae9e0-0f12-4926-b51d-4c9f9fe8c6e0} event:/sfx/player/noisejump
{eba763e1-ac80-4ed0-a588-417d89bfa456} event:/sfx/player/mach/machturn
{4d4c05e2-a27c-4cb4-9fd4-af1e24c426c3} event:/sfx/player/jump
{4ccb2fe2-9eea-4098-a9b5-7eefa1d3495f} event:/sfx/player/mach/superjumpcancel
{6cf370e2-e7d7-40e5-a72e-8354dc5cf0a2} event:/sfx/misc/timetrialclockclose
{275649e3-d0e7-49e2-8f78-f2801c0de63b} event:/sfx/enemy/monkeygunpullout
{5732a1e6-2449-48e8-a3de-fd0c9fbb62f6} event:/sfx/player/collect/bigpizza
{791d1aea-f455-4f1f-af31-9baa1f671e7b} event:/sfx/player/voice/noise/hurt
{4d6b35ea-40f1-4d55-a39e-8f48b5be3587} event:/sfx/player/stomp
{7b0456ed-2944-4b2f-8375-e216abf36e76} event:/sfx/misc/intropaper
{011a42ef-dea6-46c9-be1e-7551d88ad089} event:/sfx/player/transfo/foghorn
{8174d1f0-89b8-4bc0-8d16-d54c23166ab3} event:/sfx/enemy/projectile
{a3e33bf1-a03d-4da6-9df2-f4d694e0645f} event:/sfx/misc/explosion
{99785cf5-9ded-47a7-a0d3-82e2b1cab7e5} event:/sfx/misc/dragonvomit
{f5ce77f5-e38a-4703-b538-65c598ae00d0} event:/sfx/pausemenu/move
{3d2cfcf5-88d6-4c4a-8d2f-f2c4a4cde5dc} event:/sfx/player/collect/shotgun
{342abffa-e4b6-4314-8b6d-0537c9bbd5a5} event:/sfx/misc/secondlogoswingout
{c3ab7efe-216e-4260-bb38-b4b60816d6d5} event:/sfx/player/step
{9b0ec6ff-9fa9-4f2a-a3d2-ccb6767485f8} event:/sfx/player/groundpound
