BetterExportAssetOrder
Improved by burnedpopcorn180
241 - snd_trihecta_fall
242 - snd_soul_gameover_hit
243 - snd_soul_gameover_hit_break
244 - snd_clover_jump_dunes
245 - snd_drip
246 - snd_feisty_ace_entrance
247 - snd_newhome_03_clover_radius
248 - snd_duel_shot
249 - snd_elevator_burn
250 - snd_elevator_open
251 - snd_elevator_pickaxe
252 - snd_fabric_rip
253 - snd_feisty_mission_fanfare
254 - snd_feisty_mission_fanfare_oopsy
255 - snd_glass_break
256 - snd_helivator
257 - snd_machinery
258 - snd_minecart_puzzle_drain
259 - snd_mo_kicks_the_bucket
260 - snd_mo_pop
261 - snd_rumble
262 - snd_sandstorm
263 - snd_toy_squeak
264 - snd_wild_east_bell
265 - snd_wild_east_shocking_sound
266 - snd_wild_east_train_horn
267 - snd_talk_asgore
268 - snd_pickaxe_ding
269 - snd_pickaxe_ding2
270 - snd_elevator_start
271 - snd_elevator
272 - snd_electric_flash
273 - snd_dunes_43_code
274 - snd_ceroba_super_bullet_explosion
275 - snd_achoo
276 - snd_doorlock
277 - snd_fanpear
278 - snd_flapaway
279 - snd_pops_deflate
280 - snd_tinyfroggit
281 - snd_tarpdrop
282 - snd_wood_flowey
283 - snd_wood_pull
284 - snd_wood_zap
285 - snd_groundcrack
286 - snd_groundbreak
287 - snd_puzzle_woodmove
288 - snd_puzzle_start
289 - snd_puzzle_icemelt
290 - snd_water_fill_2
291 - snd_water_fill
292 - snd_slidedoor_open
293 - snd_rock_break
294 - snd_rock_roll
295 - snd_snowdin_bridge
296 - mus_acquittal
297 - mus_ambient_river
298 - snd_splash
299 - snd_mo_throw
300 - snd_chargeshot_charge
301 - snd_mo_stand_arrive
302 - snd_mo_stand_depart
303 - snd_mo_snap
304 - snd_mo_pour
305 - snd_mo_kick
306 - snd_mo_slide
307 - snd_snowdin_crystal_tree
308 - snd_toast_jump
309 - snd_slide_whistle
310 - snd_slide_whistle_reversed
311 - snd_shufflers_flip
312 - snd_microsprings_froggits
313 - snd_hammer_hit
314 - snd_raft_untie
315 - snd_martlet_wake
316 - snd_footstep1
317 - snd_footstep2
318 - snd_generator_start
319 - snd_steamworks_13_robot
320 - snd_steamworks_13_vent
321 - snd_ceroba_shield_break_1
322 - snd_steamworks_metal_1
323 - snd_steamworks_metal_2
324 - snd_steamworks_metal_3
325 - snd_manta_startup
326 - snd_manta_stop_go
327 - snd_manta_sail
328 - snd_shot_big_fire
329 - snd_manta_gate_open
330 - snd_pinkgoo_initiate
331 - snd_pinkgoo_move
332 - snd_pinkgoo_steam
333 - snd_mo_jacket_explosion
334 - snd_mo_hat_toss
335 - snd_mo_ignite
336 - snd_flame_loop
337 - snd_mo_jacket_toss
338 - snd_mo_jacket_kick
339 - snd_mo_stand_explodes
340 - snd_bailador_shake
341 - snd_bell_ring
342 - snd_bell_ring_cow
343 - snd_big_crash
344 - snd_duel_mark
345 - snd_enemy_bullet_shot
346 - snd_flowey_glitch_yellow
347 - snd_footsteps_water_1
348 - snd_impact_gunshot
349 - snd_mail_jingle
350 - snd_mail_jingle_alt
351 - snd_rapids
352 - snd_revolver_shoot
353 - mus_medium
354 - snd_ring
355 - snd_smoke
356 - snd_snore
357 - snd_snowcastle_door_1
358 - snd_snowcastle_door_2
359 - snd_tv_static
360 - snd_final_martlet_transformation
361 - snd_doorclose
362 - snd_encounter
363 - snd_equip_armor
364 - snd_fail
365 - snd_heal
366 - snd_jump
367 - snd_knock_beautiful
368 - snd_shotmid_silver
369 - snd_mail_pin
370 - snd_mail_unpin
371 - snd_metallic_impact
372 - snd_paperfall
373 - snd_playerjump
374 - snd_savedgame
375 - snd_shop_purchase
376 - snd_soul_battle_flash
377 - snd_soul_battle_start
378 - snd_success
379 - snd_switch
380 - snd_undertale_appear
381 - snd_undertale_flash
382 - snd_undertale_snap
383 - snd_undertale_swoosh
384 - snd_undertale_thud
385 - snd_glass_break_1
386 - snd_glass_break_2
387 - snd_battle_item_weapon_select
388 - snd_battle_item_equip
389 - snd_battle_item_eat_starfait
390 - snd_battle_item_eat
391 - snd_talk_default
392 - snd_battle_flash
393 - snd_wingflapslow1
394 - snd_stars
395 - snd_scrollslash3
396 - snd_scrollslash2
397 - snd_scrollslash1
398 - snd_mirrorbreak1
399 - snd_kamehamehacharge
400 - snd_kamehamehablast
401 - snd_decibatfall
402 - snd_decibatblink
403 - snd_decibatbouncewave2
404 - snd_decibatbouncewave1
405 - snd_decibat3bigwaves
406 - snd_decibat1bigwave
407 - snd_dalvbolt2
408 - snd_dalvbolt1
409 - snd_monster_damage_miss
410 - snd_monster_damage_hit_critical
411 - snd_monster_damage_hit
412 - snd_monster_damage_death
413 - snd_love_increased
414 - snd_item_stick_attack
415 - snd_flee
416 - snd_washpan_bonk
417 - snd_mart_feather_atk1
418 - snd_mart_feather_atk2
419 - snd_mart_feather_atk3
420 - snd_mart_flap
421 - snd_mart_genoland
422 - snd_guardener_arm_launched
423 - snd_mart_impact_1
424 - snd_mart_impact_2
425 - snd_mart_impact_3
426 - snd_mart_pacifistland
427 - snd_soul_speed_up
428 - snd_mart_spiral_attack_1
429 - snd_mart_spiral_attack_2
430 - snd_mart_wind
431 - snd_mart_wings_out
432 - snd_martlet_takes_a_stance
433 - snd_martlet_yeets_a_book
434 - snd_talk_dalv
435 - snd_ceroba_swoosh
436 - snd_ceroba_boom
437 - snd_ceroba_trap
438 - snd_ceroba_hurt_red
439 - snd_ceroba_diamond_fire
440 - snd_starlo_rope_snap
441 - snd_starlo_rope_strain
442 - snd_starlo_rope_shot
443 - snd_starlo_gun_warn
444 - snd_starlo_train_incoming
445 - snd_shotmid_coffee
446 - snd_shotmid_ice
447 - snd_shotmid_pebbles
448 - snd_shotstrong_coffee
449 - snd_shotstrong_ice
450 - snd_shotstrong_pebbles
451 - snd_shotweak_coffee
452 - snd_shotweak_ice
453 - snd_shotweak_pebbles
454 - mus_mew
455 - mus_mew_boss
456 - mus_mew_intro
457 - mus_mew_logo
458 - snd_arc_defeat
459 - snd_arc_hit
460 - snd_arc_menu_move
461 - snd_arc_menu_select
462 - snd_arc_shoot
463 - snd_mew_boss_spare
464 - snd_mew_die_1
465 - snd_mew_die_2
466 - snd_ceroba_shield_break_2
467 - snd_mew_die_3
468 - snd_mew_die_4
469 - snd_mew_gameover_1
470 - snd_mew_gameover_2
471 - snd_mew_gameover_3
472 - snd_mew_seeya
473 - snd_mew_title
474 - snd_mew_upgrade_rapid
475 - snd_mew_upgrade_shotgun
476 - snd_mew_win
477 - snd_mew_win_1
478 - snd_mew_win_2
479 - snd_card_game_gold
480 - snd_card_game_deal
481 - snd_card_game_match
482 - snd_card_game_select
483 - snd_card_game_win
484 - snd_card_game_lose
485 - mus_card_game
486 - mus_danza_attack_01_yellow
487 - mus_danza_attack_02_yellow
488 - mus_danza_attack_03_yellow
489 - mus_danza_attack_04_yellow
490 - mus_danza_attack_05_yellow
491 - mus_danza_attack_06_yellow
492 - mus_danza_attack_07_yellow
493 - mus_danza_attack_08_yellow
494 - mus_danza_attack_09_yellow
495 - mus_danza_attack_10_yellow
496 - mus_danza_attack_finale_01_yellow
497 - mus_danza_attack_finale_02_yellow
498 - mus_danza_attack_finale_yellow
499 - mus_danza_attack_inst_01_yellow
500 - mus_danza_attack_inst_02_yellow
501 - mus_danza_attack_inst_03_yellow
502 - mus_danza_attack_inst_04_yellow
503 - mus_danza_attack_inst_05_yellow
504 - mus_danza_attack_inst_06_yellow
505 - mus_danza_attack_inst_07_yellow
506 - mus_danza_attack_inst_08_yellow
507 - mus_danza_attack_inst_09_yellow
508 - mus_deal_em_out_ed_yellow
509 - mus_danza_attack_inst_10_yellow
510 - mus_danza_attack_inst_finale_01_yellow
511 - mus_danza_attack_inst_finale_02_yellow
512 - mus_danza_battle_yellow
513 - mus_prebattle3_yellow
514 - snd_danza_blue_note
515 - snd_danza_blue_note_finale_01
516 - snd_danza_blue_note_finale_02
517 - snd_danza_green_note
518 - snd_danza_green_note_finale_01
519 - snd_danza_green_note_finale_02
520 - snd_danza_red_note
521 - snd_danza_red_note_finale_01
522 - snd_danza_red_note_finale_02
523 - snd_danza_red_note_finale_end
524 - snd_fanfare
525 - snd_undyne_spear_fly
526 - snd_chem_countdown
527 - mus_f_phase2_clay
528 - snd_heavydamage
529 - snd_steamworks_35_axis_beep
530 - mus_oasis
531 - snd_chem_win
532 - mus_ones_past
533 - mus_corner_of_a_circle
534 - snd_undertale_pombark
535 - snd_guardener_shoot
536 - snd_talk_alphys
537 - snd_flowey_open_steamworks_door
538 - mus_well_be_okay
539 - snd_guardener_leave_1
540 - snd_steamworks_21_monitor
541 - snd_lever_strain
542 - mus_getting_the_thoughts_out
543 - snd_dunes_28_cart
544 - mus_guns_blazing_geno
545 - mus_some_point_of_no_return
546 - mus_mothers_love_phase_3
547 - mus_vsasgore
548 - mus_flowey_final_boss_1_intro
549 - snd_mail_jingle_steamworks
550 - snd_sousborg_egg_sizzle
551 - snd_f_mechpellet
552 - snd_ceroba_staff_spin
553 - snd_guardener_rise_arms
554 - mus_gotcha
555 - snd_shotstrong_silver
556 - snd_feisty_mooch_coin_appear
557 - snd_shotmid_pellets
558 - snd_feisty_ed_entrance
559 - snd_guardener_laser_shoot
560 - mus_snow
561 - mus_crescendo_of_dread
562 - snd_fire_ignite
563 - mus_final_stand
564 - snd_locked_door
565 - mus_asgoreop
566 - snd_axis_flashlight
567 - snd_yellow_soul_dash
568 - mus_the_trek
569 - snd_sousborg_egg_whistle
570 - mus_barrier
571 - snd_flowey_martlet_melt
572 - snd_sliding_door_open
573 - snd_hurt_robot
574 - snd_f_great
575 - snd_ceroba_defeated_sounds
576 - snd_factory_puzzle_spawn_item
577 - snd_hurtbeef
578 - snd_undertale_impact
579 - snd_flowey_world_entrance
580 - snd_chem_crash
581 - snd_guardener_death
582 - mus_mothers_love_phase_1
583 - mus_trampled_flowers
584 - snd_ceroba_bullet_rise
585 - mus_f_phase2_mechanical
586 - snd_chem_go
587 - snd_ehurt1
588 - snd_factory_puzzle_correct
589 - mus_nothing_but_the_truth
590 - snd_elevator_long
591 - snd_ceroba_shield_bell_hit
592 - snd_ceroba_last_hit
593 - mus_deal_em_out_ace_yellow
594 - snd_feisty_mooch_coin_grab
595 - snd_fire_loop
596 - mus_mothers_love_phase_3_buildup
597 - snd_axis_trash_laser_shot
598 - snd_yellow_soul_shoot
599 - mus_f_phase2_yarn
600 - mus_golden_opportunity
601 - snd_wind_new
602 - snd_ceroba_powerup
603 - snd_lever_break
604 - snd_glass_smashable_large_break
605 - snd_martlet_lands
606 - snd_newhome_03_starlo_defeat
607 - snd_guardener_flintlock
608 - mus_through_the_macro_lens
609 - snd_light_loop
610 - snd_ceroba_yell
611 - snd_undertale_bigdoor_open
612 - snd_shotstrong_flint
613 - mus_flowey_world
614 - mus_a_call_to_action
615 - mus_the_wandering
616 - mus_complex
617 - snd_sousborg_egg_tap
618 - snd_soul_charge
619 - mus_missing_inaction
620 - mus_flowey_soundscape
621 - snd_ceroba_newspaper_tear
622 - snd_crayon_select
623 - snd_axis_trash_meter_full
624 - snd_chem_start
625 - snd_chem_cake_take
626 - snd_talk_chujin
627 - mus_axis_chase
628 - snd_guardener_cut_vine
629 - mus_greenhouse
630 - snd_flowey_laugh
631 - snd_dunes_43_gate
632 - snd_shotweak_silver
633 - snd_f_noise
634 - snd_guardener_gun_cock
635 - snd_bloop
636 - snd_shotstrong_pellets
637 - mus_f_phase2_lowpoly
638 - snd_ceroba_phase_1_transform
639 - snd_ceroba_big_shot
640 - mus_remedy
641 - mus_flowey_final_boss_1_main
642 - mus_deal_em_out_mooch_yellow
643 - snd_chem_05_axis_acid_melt_ground
644 - snd_doot
645 - mus_ajourned
646 - snd_guardener_arm_land
647 - snd_cinematiccut
648 - snd_sousborg_egg_fire
649 - snd_undertale_swipe
650 - snd_flowey_world_transition
651 - snd_clover_crawl
652 - snd_mansion_trapdoor_open
653 - mus_trial_by_fury_2
654 - snd_talk_giga
655 - snd_salt_shaker
656 - mus_flock_together
657 - snd_beep
658 - snd_undertale_cinematic_cut
659 - snd_ceroba_p2_block
660 - snd_power_down
661 - snd_fire_snuff_out
662 - mus_computer_ambience
663 - snd_feisty_title_card
664 - sndfnt_flowey_2
665 - snd_feisty_moray_stab_impact
666 - mus_gift_2
667 - snd_axis_ball_charge
668 - snd_flowey_hurt
669 - mus_mothers_love_intro
670 - mus_f_laugh
671 - snd_ceroba_attack_bell_explode
672 - snd_newhome_03_martlet_defeat
--------------------- SPRITES ---------------------
0 - spr_collisionbox
1 - spr_steamworks_21_background
2 - spr_doorway
3 - spr_event_collider
4 - spr_slippery
5 - spr_shot_strong_nails
6 - spr_portrait_kanako_neutral
7 - spr_solve
8 - spr_background_feisty_four_suit_spade_ace
9 - spr_ul
10 - spr_feisty_four_ace_legs
11 - spr_corrupted_starlo
12 - spr_ur
13 - spr_dr
14 - spr_dl
15 - spr_pl_run_up
16 - spr_pl_run_right
17 - spr_pl_run_left
18 - spr_pl_run_down
19 - spr_pl_lying
20 - spr_falldown
21 - spr_pl_right
22 - spr_pl_left
23 - spr_pl_down
24 - spr_pl_up
25 - spr_pl_goggles_left
26 - spr_pl_goggles_right
27 - spr_pl_goggles_down
28 - spr_pl_goggles_up
29 - spr_martlet_head_moderate_battle
30 - spr_pl_goggles_shoot
31 - spr_pl_goggles_hit
32 - spr_pl_goggleless_shoot
33 - spr_pl_goggleless_hit
34 - spr_hotland_bits_n_bites_sign
35 - spr_pl_run_up_snowdin
36 - spr_flowey1_attack_mouth_face_1
37 - spr_ceroba_transformation_p1_5
38 - spr_steamworks_axis_energy_ball
39 - spr_pl_run_left_snowdin
40 - spr_pl_run_right_snowdin
41 - spr_pl_run_down_snowdin
42 - spr_pl_left_snowdin
43 - spr_pl_right_snowdin
44 - spr_broken_belt
45 - spr_pl_down_snowdin
46 - spr_axis_down_dead
47 - spr_pl_up_snowdin
48 - spr_pl_run_up_water
49 - spr_pl_run_down_water
50 - spr_pl_run_left_water
51 - spr_pl_run_right_water
52 - spr_pl_left_water
53 - spr_pl_right_water
54 - spr_pl_up_water
55 - spr_pl_down_water
56 - spr_pl_mask
57 - spr_pl_masksmall
58 - spr_pl_shadow
59 - spr_toriel_right_hold
60 - spr_ceroba_down_talk
61 - spr_ceroba_up_talk
62 - spr_comp_helium
63 - spr_ceroba_left_talk
64 - spr_portrait_asgore_surprised
65 - spr_ceroba_right_talk
66 - spr_ceroba_down_walk
67 - spr_ceroba_up_walk
68 - spr_ceroba_right_walk
69 - spr_ceroba_left_walk
70 - spr_ceroba_lean
71 - spr_ceroba_lean_back
72 - spr_ceroba_cool
73 - spr_ceroba_show_mask
74 - spr_ceroba_cool_alt
75 - spr_clover_geno_unsummon
76 - spr_ceroba_fall
77 - spr_ceroba_staff
78 - spr_ceroba_down_run
79 - spr_ceroba_left_run
80 - spr_ceroba_right_run
81 - spr_ceroba_up_run
82 - cdalv_down
83 - cdalv_left
84 - cdalv_right
85 - cdalv_up
86 - spr_bigfrog_conductor_frog
87 - cdalv_downt
88 - cdalv_leftt
89 - cdalv_rightt
90 - spr_dalv_npc_boards_pacifist
91 - spr_dalv_npc_boards_neutral
92 - spr_dalvhleft
93 - GM_Electricity_spr_Electricity1
94 - spr_hotland_complex_closed
95 - spr_dalvright
96 - spr_dalvhup
97 - spr_dalvhdown
98 - spr_dalvhdownt
99 - spr_dalvhrightt
100 - spr_dalvleftt
101 - spr_dalvhupt
102 - spr_dalvmask
103 - dalv_left
104 - dalv_right
105 - dalv_up
106 - dalv_upt
107 - spr_axis_redeyes_right
108 - spr_pl_down_geno_shoot
109 - dalv_down
110 - spr_attack_ace_card_3
111 - spr_hoodoff
112 - spr_npc_rosa
113 - dalv_leftt
114 - dalv_downt
115 - dalv_rightt
116 - spr_decibatnpc
117 - spr_decisleep
118 - spr_bigfrog_villainfly
119 - spr_decibat_zzz
120 - spr_ace_down_walk
121 - spr_flowey_vine
122 - spr_ceroba_attack_bell
123 - spr_ace_left_walk
124 - spr_ace_right_walk
125 - spr_flowey1_attack_audience
126 - spr_martlet_head_regular_battle
127 - spr_ace_up_walk
128 - spr_ace_pose
129 - spr_sousborg_left_arm_1_hurt
130 - spr_ace_down_talk
131 - spr_steamworks_vendy_face_happy
132 - spr_ace_right_talk
133 - spr_sousborg_right_arm_1_hurt
134 - spr_ace_left_talk
135 - spr_ace_up_talk
136 - spr_ace_tied_down
137 - spr_ace_asleep
138 - spr_conveyor_puzzle_hint_letters
139 - spr_ed_left_walk
140 - spr_ed_right_walk
141 - spr_ed_up_walk
142 - spr_ed_down_walk
143 - spr_ed_pose
144 - spr_ed_down_talk
145 - spr_ed_left_talk
146 - spr_ed_right_talk
147 - spr_ed_up_talk
148 - spr_steamworks_22_tables
149 - spr_ed_grab_clover
150 - spr_ed_left_walk_clover
151 - spr_steamworks_38_face_blank
152 - spr_ed_right_walk_clover
153 - spr_sousborg_egg_dropped
154 - spr_ed_down_walk_clover
155 - spr_ed_up_walk_clover
156 - spr_ed_place_clover
157 - spr_jandroid_body_top_hurt
158 - spr_starlo_express
159 - spr_ed_tied_down
160 - spr_ed_asleep
161 - spr_flowey_leave_shadow
162 - spr_moray_down_talk
163 - spr_moray_left_talk
164 - spr_moray_right_talk
165 - spr_moray_up_talk
166 - spr_moray_down_walk
167 - spr_martlet_flowey_melt
168 - spr_moray_left_walk
169 - spr_moray_right_walk
170 - spr_moray_pose
171 - spr_moray_up_walk
172 - spr_moray_tied_down
173 - spr_moray_asleep
174 - spr_axis_acid_4
175 - spr_mooch_down_talk
176 - spr_mooch_left_talk
177 - spr_bigfrog_frogger_carfrog
178 - spr_mooch_right_talk
179 - spr_heart_yellow_blast_3
180 - spr_battle_flowey_gray_dust
181 - spr_feisty_four_ace_body
182 - spr_toriel_fireplace
183 - spr_mooch_up_talk
184 - spr_mooch_pose
185 - spr_mooch_down_walk
186 - spr_mooch_left_walk
187 - spr_mooch_right_walk
188 - spr_mooch_up_walk
189 - spr_npc_slither
190 - spr_clover_geno_summon
191 - spr_mooch_tied_down
192 - spr_attack_ace_card_back
193 - spr_mooch_asleep
194 - spr_starlo_down_talk
195 - spr_size_crayon_1
196 - spr_starlo_down_walk
197 - spr_starlo_down_walk_menacing
198 - spr_new_home_03_pref_martlet
199 - spr_background_feisty_four_card_heart_mooch
200 - spr_starlo_left_talk
201 - spr_starlo_left_walk
202 - spr_starlo_pose
203 - spr_starlo_reveal
204 - spr_starlo_right_talk
205 - spr_starlo_right_walk
206 - spr_starlo_up_talk
207 - spr_starlo_up_walk
208 - spr_crayon_2
209 - spr_conveyor_indicator_idle
210 - spr_starlo_goggles_left_walk
211 - spr_attack_shoebox
212 - spr_bigfrog_bodymech
213 - spr_starlo_goggles_right_walk
214 - spr_starlo_goggles_up_walk
215 - spr_starlo_goggles_down_walk
216 - spr_martlet_f2_head
217 - spr_newhome_bg_building_4
218 - spr_starlo_goggles_down_talk
219 - spr_starlo_goggles_left_talk
220 - spr_starlo_goggles_right_talk
221 - spr_starlo_goggles_shoot
222 - spr_starlo_goggles_hit
223 - spr_starlo_goggleless_shoot
224 - spr_starlo_goggleless_shot
225 - spr_martlet_roof_syringe
226 - spr_starlo_death_1
227 - spr_starlo_death_2
228 - spr_steamworks_22_table_chair
229 - spr_battle_flowey_paper_ball
230 - spr_starlo_sad_down_talk
231 - spr_size_crayon_6
232 - spr_starlo_sad_left_talk
233 - spr_steamworks_36_axis_walk_left
234 - spr_credits_snowdin_dalv_bg
235 - spr_starlo_sad_right_talk
236 - spr_starlo_sad_left_walk
237 - spr_starlo_sad_right_walk
238 - spr_axis_background_particles
239 - spr_newhome_03_overlay
240 - spr_starlo_sad_down_walk
241 - spr_starlo_up_wind
242 - spr_floweyrise
243 - spr_flowey
244 - spr_battle_enemy_attack_axis_ball_red
245 - spr_floweyleave
246 - spr_determination
247 - flowey_up
248 - spr_steamworks_axis_throw
249 - spr_mansion_bedroom
250 - flowey_left
251 - flowey_right
252 - spr_flowey_npc_boards_genocide
253 - spr_flowey_boards_genocide
254 - spr_mansion_study_tv_overlay
255 - spr_floweyrise_wildeast
256 - spr_floweyleave_wildeast
257 - spr_flowey_wildeast_left
258 - spr_guardener_plant_disappear
259 - spr_flowey_wildeast_right
260 - spr_flowey_wildeast_down
261 - spr_flowey_wildeast_up
262 - spr_martlet_up_talk
263 - spr_martlet_right_talk
264 - spr_pl_left_snowdin_geno
265 - spr_martlet_down_talk
266 - spr_heart_yellow_blast_2
267 - spr_martlet_flashback_sit_lookside_worried
268 - spr_martlet_left_talk
269 - spr_battle_flowey_lowpoly_stickbug_crawl
270 - spr_martlet_right
271 - spr_conveyor_stamp_blue
272 - spr_martlet_left
273 - spr_martlet_up
274 - spr_martlet_down
275 - spr_martlet_fly_away
